gene,avg train loss,min train loss,avg val loss,min val loss
ZMAT4,10.24664888381958,9.240638732910156,17.36360921859741,15.886046409606934
KLF12,11.353856945037842,9.826451301574707,19.61365451812744,10.582584381103516
MED26,9.728173542022706,8.278279304504395,14.449440479278564,10.673871994018555
PARP12,10.394271659851075,8.012043952941895,14.445970344543458,11.21496868133545
PELI1,10.568504810333252,8.982406616210938,14.941477870941162,12.032973289489746
GTF2E2,10.614234447479248,7.881163597106934,12.521912002563477,10.110909461975098
E2F5,11.237526416778564,8.320040702819824,11.957892227172852,8.77021312713623
SATB1,9.531716060638427,7.555902481079102,11.489941787719726,8.534041404724121
GATAD2B,10.170622730255127,8.32039737701416,19.731094074249267,12.444979667663574
KLF1,9.758084344863892,7.590716361999512,14.313564491271972,10.975581169128418
SDR16C5,8.518200349807739,6.145854473114014,18.55127272605896,7.252400875091553
MBNL3,7.758452224731445,5.786685943603516,11.44422426223755,8.133672714233398
NHLH1,10.156584072113038,8.07024097442627,15.120980167388916,8.03285026550293
VPS72,9.855623722076416,7.447237968444824,14.204032611846923,11.564631462097168
FBP1,9.946401453018188,7.945033073425293,20.781363868713377,15.496891021728516
LMO2,14.768077278137207,14.532491683959961,24.233075523376463,23.494874954223633
TOX,10.273829555511474,8.258713722229004,15.206049537658691,11.42646312713623
PKNOX2,12.133634662628173,10.538548469543457,24.983496284484865,13.987775802612305
PCBD1,13.528394794464111,13.4116849899292,16.33654727935791,14.904203414916992
DLX6,10.627098846435548,8.803023338317871,20.194287490844726,17.112895965576172
TERF2IP,9.121379470825195,7.2650251388549805,14.400062942504883,9.357904434204102
ALX1,11.906023120880127,10.021821022033691,22.07131881713867,11.539896011352539
RNF14,9.525991201400757,7.499631881713867,15.814019584655762,11.364543914794922
LBH,11.20173225402832,8.082742691040039,21.906836891174315,16.743595123291016
ELF3,9.854359149932861,7.795512676239014,11.883444786071777,8.396942138671875
ACTL6A,9.787717151641846,7.5351152420043945,13.224417400360107,11.175949096679688
IRAK2,9.991952085494995,7.8987956047058105,16.730009078979492,12.504098892211914
ZBTB34,8.931202030181884,7.087948322296143,28.862133407592772,24.48130226135254
BRF2,9.902751016616822,7.80340051651001,17.241041946411134,11.197235107421875
TOB1,11.51927146911621,9.658888816833496,18.710145664215087,15.112554550170898
PTEN,13.243886566162109,10.939496040344238,20.763570976257324,14.902128219604492
CRTC2,10.669521903991699,8.715010643005371,10.135452938079833,8.21207332611084
CSDE1,10.601712703704834,9.240686416625977,11.727532386779785,9.735276222229004
SORBS3,9.95616011619568,7.399503707885742,19.897541427612303,12.462151527404785
KCNH8,11.031864166259766,9.452499389648438,13.022201633453369,11.297924041748047
ZPR1,10.160630655288696,7.526113986968994,18.02699375152588,12.285795211791992
RELA,8.178857326507568,6.4468183517456055,15.764040565490722,13.743881225585938
EAF1,14.249461936950684,13.804437637329102,16.90080871582031,11.767449378967285
TRADD,8.61391019821167,6.712110996246338,16.159774398803712,10.445009231567383
THYN1,9.81535563468933,7.675533294677734,21.62353105545044,14.077227592468262
POU4F3,9.677430438995362,8.128016471862793,23.748991775512696,18.986522674560547
CUL1,7.529779624938965,5.810234069824219,21.979111766815187,10.250901222229004
MAML1,10.199067831039429,7.953962326049805,16.29546003341675,11.740989685058594
PKIG,9.886061191558838,7.745614051818848,22.623299598693848,18.39797019958496
HOXA2,11.083888149261474,8.412055015563965,23.073278617858886,14.457134246826172
TXNIP,9.41251630783081,7.715055465698242,12.565359592437744,8.273706436157227
TARDBP,10.464411449432372,8.631876945495605,22.670416927337648,12.121745109558105
HMOX1,9.014176273345948,7.075286865234375,15.760405254364013,9.960267066955566
POU2F2,8.064000225067138,6.121320724487305,13.876618671417237,9.409286499023438
POLE3,13.655470848083496,13.382757186889648,19.969445514678956,14.6643705368042
TONSL,9.532150983810425,7.238646507263184,17.11429281234741,10.077929496765137
MBD5,13.861017894744872,11.785563468933105,21.118504142761232,16.279300689697266
KLHL6,9.972787427902222,7.943984508514404,16.589540481567383,9.563416481018066
ZNF384,9.239408683776855,6.852856636047363,19.25396022796631,14.866445541381836
MSGN1,9.917809104919433,8.627503395080566,21.40573959350586,15.787271499633789
MNAT1,11.820587062835694,9.457387924194336,14.908428382873534,10.948249816894531
PPP3R1,10.660340690612793,8.920123100280762,26.477670764923097,14.118132591247559
ZFPL1,10.624363136291503,8.195998191833496,22.629120445251466,20.49298667907715
MED18,10.645273399353027,8.596711158752441,13.13866491317749,11.44892406463623
ELK4,8.677980947494508,6.829261302947998,11.50025053024292,9.464188575744629
PADI2,9.876640129089356,6.929658889770508,12.464832592010499,8.393975257873535
