order,family,genus,species,max lifespan
Metatheria,Didelphidae,Didelphis,Didelphis_virginiana,6.6
Metatheria,Microbiotheriidae,Dromiciops,Dromiciops_gliroides,2.2
Metatheria,Didelphidae,Monodelphis,Monodelphis_domestica,5.1
Metatheria,Dasyuridae,Sarcophilus,Sarcophilus_harrisii,13.0
Metatheria,Phascolarctidae,Phascolarctos,Phascolarctos_cinereus,22.1
Metatheria,Macropodidae,Macropus,Macropus_giganteus,25.0
Metatheria,Dasyuridae,Antechinus,Antechinus_flavipes,3.9
Metatheria,,,Thylacinus_cynocephalus,12.6
Metatheria,Macropodidae,Macropus,Macropus_fuliginosus,23.2
Metatheria,,,Osphranter_rufus,Unknown
Metatheria,,,Pseudocheirus_occidentalis,Unknown
Tylopoda,Camelidae,Camelus,Camelus_bactrianus,35.4
Tylopoda,Camelidae,Camelus,Camelus_dromedarius,28.4
Tylopoda,Camelidae,Lama,Lama_glama,28.9
Tylopoda,Camelidae,Vicugna,Vicugna_pacos,25.8
Tylopoda,Camelidae,Lama,Lama_guanicoe,33.7
Tylopoda,Camelidae,Vicugna,Vicugna_vicugna,31.6
Tylopoda,,,Camelus_ferus,Unknown
Perissodactyla,Equidae,Equus,Equus_zebra,33.2
Perissodactyla,Tapiridae,Tapirus,Tapirus_terrestris,39.6
Perissodactyla,,,Equus_przewalskii,Unknown
Perissodactyla,Rhinocerotidae,Ceratotherium,Ceratotherium_simum,45.0
Perissodactyla,,,Equus_burchellii,38.0
Perissodactyla,,,Tapirus_indicus,30.0
Perissodactyla,Equidae,Equus,Equus_asinus,47.0
Perissodactyla,Rhinocerotidae,Rhinoceros,Rhinoceros_unicornis,43.5
Perissodactyla,Rhinocerotidae,Dicerorhinus,Dicerorhinus_sumatrensis,32.8
Perissodactyla,Rhinocerotidae,Diceros,Diceros_bicornis,57.0
Perissodactyla,Equidae,Equus,Equus_caballus,36.0
Dermoptera,,,Galeopterus_variegatus,Unknown
Ruminantia,Bovidae,Capra,Capra_hircus,20.8
Ruminantia,Bovidae,Madoqua,Madoqua_kirkii,17.3
Ruminantia,Bovidae,Antidorcas,Antidorcas_marsupialis,19.8
Ruminantia,,,Capra_aegagrus,Unknown
Ruminantia,,,Procapra_przewalskii,Unknown
Ruminantia,Bovidae,Raphicerus,Raphicerus_campestris,9.3
Ruminantia,Giraffidae,Giraffa,Giraffa_camelopardalis,39.5
Ruminantia,Bovidae,Ovis,Ovis_aries,22.8
Ruminantia,Cervidae,Muntiacus,Muntiacus_muntjak,18.8
Ruminantia,Bovidae,Bos,Bos_grunniens,26.3
Ruminantia,,,Ovis_orientalis,Unknown
Ruminantia,Cervidae,Capreolus,Capreolus_pygargus,17.0
Ruminantia,Bovidae,Ammotragus,Ammotragus_lervia,21.7
Ruminantia,,,Bos_gaurus,Unknown
Ruminantia,Cervidae,Cervus,Cervus_elaphus,31.5
Ruminantia,Cervidae,Rangifer,Rangifer_tarandus,21.8
Ruminantia,Bovidae,Hippotragus,Hippotragus_equinus,25.9
Ruminantia,Bovidae,Tragelaphus,Tragelaphus_strepsiceros,23.5
Ruminantia,,,Bos_mutus,Unknown
Ruminantia,Bovidae,Bubalus,Bubalus_bubalis,34.9
Ruminantia,Cervidae,Odocoileus,Odocoileus_virginianus,23.0
Ruminantia,Bovidae,Bison,Bison_bison,33.5
Ruminantia,Bovidae,Oryx,Oryx_gazella,23.8
Ruminantia,Bovidae,Connochaetes,Connochaetes_taurinus,24.3
